0,a,2024-04-15 08:00:00,2024-04-15 17:00:00,1,6
1,b,2024-04-15 09:00:00,2024-04-15 14:00:00,2,2
2,c,2024-04-15 08:00:00,2024-04-15 17:00:00,3,4
3,d,2024-04-15 08:00:00,2024-04-15 14:00:00,4,3
4,e,2024-04-15 08:00:00,2024-04-15 17:00:00,7,1
5,f,2024-04-16 08:00:00,2024-04-16 17:00:00,7,2
6,g,2024-04-16 08:00:00,2024-04-16 17:00:00,4,3
7,h,2024-04-16 08:00:00,2024-04-16 17:00:00,5,1
8,i,2024-04-16 08:00:00,2024-04-16 17:00:00,3,2
9,j,2024-04-16 08:00:00,2024-04-16 17:00:00,8,7
10,j,2024-04-17 08:00:00,2024-04-17 17:00:00,2,3
11,j,2024-04-17 08:00:00,2024-04-17 17:00:00,4,2
12,j,2024-04-17 08:00:00,2024-04-17 17:00:00,1,6
13,j,2024-04-18 08:00:00,2024-04-18 17:00:00,9,2
14,j,2024-04-18 08:00:00,2024-04-18 17:00:00,1,4
15,j,2024-04-18 08:00:00,2024-04-18 17:00:00,5,4
16,a,2024-04-18 08:00:00,2024-04-18 17:00:00,4,6
17,b,2024-04-19 09:00:00,2024-04-19 14:00:00,8,2
18,c,2024-04-19 08:00:00,2024-04-19 17:00:00,3,4
19,d,2024-04-19 08:00:00,2024-04-19 14:00:00,4,3
20,e,2024-04-19 08:00:00,2024-04-19 17:00:00,7,1
21,f,2024-04-20 08:00:00,2024-04-20 17:00:00,7,2
22,g,2024-04-20 08:00:00,2024-04-20 17:00:00,2,3
23,h,2024-04-20 08:00:00,2024-04-20 17:00:00,5,1
24,i,2024-04-20 08:00:00,2024-04-20 17:00:00,3,4
25,j,2024-04-20 08:00:00,2024-04-20 17:00:00,8,7
26,j,2024-04-21 08:00:00,2024-04-21 17:00:00,2,4
27,j,2024-04-21 08:00:00,2024-04-21 17:00:00,4,1
28,j,2024-04-21 08:00:00,2024-04-21 17:00:00,1,5
29,j,2024-04-22 08:00:00,2024-04-22 17:00:00,9,3
30,j,2024-04-22 08:00:00,2024-04-22 17:00:00,1,4
31,j,2024-04-22 08:00:00,2024-04-22 17:00:00,5,4

